,BIN,ISSUE_DATE,VIOLATION_TYPE_CODE,VIOLATION_CATEGORY,VIOLATION_TYPE
188646,1037166.0,19890130,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
188651,1090470.0,19900122,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
188913,5002835.0,19890411,LL16,V-DOB VIOLATION - ACTIVE,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
191633,4060632.0,19891002,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
192137,1016997.0,19890130,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
192223,1001005.0,19910425,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
192518,3193833.0,19890731,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
192620,4170473.0,19930302,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
193155,1086079.0,19921030,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
194575,3000428.0,19890509,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
194904,1000850.0,19890130,LL5,V-DOB VIOLATION - ACTIVE,LL5-LOCAL LAW 5/73                                                  NONE
195758,1035775.0,19890130,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
200661,1034227.0,19890707,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
200947,1009127.0,19890707,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
201186,1015198.0,19891031,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
202927,4074921.0,19900425,LL16,V-DOB VIOLATION - ACTIVE,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
203499,1087267.0,19840206,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
207854,1045836.0,19880916,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
208017,1037555.0,19891031,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
209340,3170044.0,19881006,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
209500,1000805.0,19930310,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
209690,3053786.0,19890814,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
209732,1000043.0,19890130,LL5,V-DOB VIOLATION - ACTIVE,LL5-LOCAL LAW 5/73                                                  NONE
210877,4173557.0,19880912,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
211583,3332518.0,19891212,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
213182,1008952.0,19890130,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
213676,4170662.0,19930302,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
216232,3053913.0,19930226,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
216421,1034532.0,19910425,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
216982,1001281.0,19890707,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
219182,1053991.0,19900220,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
221104,3044209.0,19881020,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
221601,1040808.0,19890130,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
222337,1083858.0,19921029,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
222900,1056062.0,19891103,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
223046,1041181.0,19940127,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
229194,1087267.0,19820129,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
230405,4169570.0,19930224,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
230628,1034471.0,19890125,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
231699,1017601.0,19890707,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
231976,1001235.0,19890331,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
233736,1019529.0,19881104,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
234782,1014387.0,19890707,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
235357,1035371.0,19890130,LL5,V*-DOB VIOLATION - DISMISSED,LL5-LOCAL LAW 5/73                                                  NONE
236233,3084621.0,19881102,LL16,V*-DOB VIOLATION - DISMISSED,LL16-LOCAL LAW 16/84 - ELEVATOR                                      ELEVATOROPTIONAL
